GEO_ID,GEOID,NAME,S1501_C01_006E,S1501_C01_015E,Ratio
Geography,GEOID,Geographic Area Name,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!Total!!AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Ratio
0500000US48427,48427,"Starr County, Texas",35597,3515,0.000193861
0500000US48429,48429,"Stephens County, Texas",6289,1021,5.63107E-05
0500000US48431,48431,"Sterling County, Texas",775,74,4.08128E-06
0500000US48433,48433,"Stonewall County, Texas",988,146,8.05226E-06
0500000US48435,48435,"Sutton County, Texas",2560,438,2.41568E-05
0500000US48437,48437,"Swisher County, Texas",5012,766,4.22468E-05
0500000US48439,48439,"Tarrant County, Texas",1314012,424067,0.023388343
0500000US48441,48441,"Taylor County, Texas",83518,21084,0.001162835
0500000US48443,48443,"Terrell County, Texas",754,139,7.66619E-06
0500000US48445,48445,"Terry County, Texas",7990,910,5.01887E-05
0500000US48447,48447,"Throckmorton County, Texas",1090,237,1.30711E-05
0500000US48449,48449,"Titus County, Texas",19904,3253,0.000179411
0500000US48451,48451,"Tom Green County, Texas",75581,18481,0.001019273
0500000US48453,48453,"Travis County, Texas",843030,421360,0.023239045
0500000US48455,48455,"Trinity County, Texas",10591,1364,7.5228E-05
0500000US48457,48457,"Tyler County, Texas",15116,2026,0.000111739
0500000US48459,48459,"Upshur County, Texas",27897,4768,0.000262967
0500000US48461,48461,"Upton County, Texas",2430,234,1.29057E-05
0500000US48463,48463,"Uvalde County, Texas",16740,2996,0.000165237
0500000US48465,48465,"Val Verde County, Texas",29502,5425,0.000299202
0500000US48467,48467,"Van Zandt County, Texas",38152,6009,0.000331411
0500000US48469,48469,"Victoria County, Texas",60252,12033,0.00066365
0500000US48471,48471,"Walker County, Texas",46597,9701,0.000535034
0500000US48473,48473,"Waller County, Texas",28580,6034,0.00033279
0500000US48475,48475,"Ward County, Texas",7369,918,5.063E-05
0500000US48477,48477,"Washington County, Texas",23488,6284,0.000346578
0500000US48479,48479,"Webb County, Texas",151324,28650,0.001580118
0500000US48481,48481,"Wharton County, Texas",26990,4861,0.000268096
0500000US48483,48483,"Wheeler County, Texas",3624,610,3.3643E-05
0500000US48485,48485,"Wichita County, Texas",84301,19455,0.001072991
0500000US48487,48487,"Wilbarger County, Texas",8856,1346,7.42352E-05
0500000US48489,48489,"Willacy County, Texas",13296,1178,6.49696E-05
0500000US48491,48491,"Williamson County, Texas",362078,149594,0.008250479
0500000US48493,48493,"Wilson County, Texas",33086,7197,0.000396932
0500000US48495,48495,"Winkler County, Texas",4612,380,2.09579E-05
0500000US48497,48497,"Wise County, Texas",44452,8003,0.000441385
0500000US48499,48499,"Wood County, Texas",32254,5366,0.000295948
0500000US48501,48501,"Yoakum County, Texas",4873,619,3.41394E-05
0500000US48503,48503,"Young County, Texas",12473,2402,0.000132476
0500000US48505,48505,"Zapata County, Texas",8042,933,5.14573E-05
0500000US48507,48507,"Zavala County, Texas",7093,770,4.24674E-05
