Facility Name,Latitude (degrees),Longitude (degrees),2022 CO2 Emissions (tons)
Carroll County Energy,40.6048,-81.0592,2327899
Carson Cogeneration Company,33.8759,-118.2491,14233
Carson Power Plant,38.4461,-121.4614,118644
Carthage Energy,43.9842,-75.6225,1542
Carty Generating Station,45.699,-119.8131,1318681
Carville Energy Center,30.2292,-91.065,1200209
Cascade Creek,44.0322,-92.4908,8258
Cass County Station,40.9472,-95.9667,141779
"Castleton Power, LLC",42.5375,-73.7433,98308
Cayuga,39.9239,-87.4272,4664350
Cedar Bayou,29.7483,-94.9272,1800787
Cedar Bayou 4,29.752,-94.923,1060042
Center Generating Station,33.9297,-118.1047,5589
Central Alabama Gen Station,32.6503,-86.7386,2037886
Centralia,46.7559,-122.8578,4321275
Ceredo Generating Station,38.3681,-82.5339,286044
Chalk Point,38.5444,-76.6861,211718
Chambersburg Units 12 & 13,39.8668,-77.6859,127313
"Chamon Power, LLC",29.8833,-95.1113,92775
Channel Energy Center,29.7189,-95.2319,2385687
Channelview Cogeneration Facility,29.8356,-95.1242,3403882
Chanute 2,37.6953,-95.4586,198541
Charles D Lamb Energy Center,36.8138,-97.1252,100342
Charles Larsen Memorial Power Plant,28.0491,-81.9238,120160
Chattahoochee Energy Facility,33.407,-85.0387,1064997
Chehalis Generation Facility,46.6226,-122.9145,962680
Cherokee,39.8078,-104.9648,2260965
Cherokee County Cogen,35.0727,-81.613,202814
Chesterfield Power Station,37.3822,-77.3833,2388415
Cheswick,40.5383,-79.7906,523380
Chevron Cogenerating Station,30.34,-88.492,351163
Cheyenne Prairie Generating Station,41.1229,-104.7214,132156
Choctaw County Gen,33.2881,-89.4201,1459224
Cholla,34.9394,-110.3033,2957244
Chouteau Power Plant,36.2206,-95.2756,2232152
Chuck Lenzie Generating Station,36.3853,-114.9228,2424451
Chula Vista Energy Center,32.5914,-117.0586,2050
Cimarron River,37.1611,-100.7619,3476
City Water & Light - City of Jonesboro,35.8481,-90.7257,49656
Clark,36.0875,-115.0507,165648
Clayville,39.4245,-75.0201,35021
"Clean Energy Future - Lordstown, LLC",41.1489,-80.8516,2600157
Cleary Flood,41.8653,-71.1061,16972
Cleveland County Generating Facility,35.1706,-81.4161,749729
Cliffside,35.22,-81.7594,3372097
Clifty Creek,38.7383,-85.4192,6494365
Clinch River,36.9333,-82.1997,61148
Clover Power Station,36.8692,-78.7046,734507
Coal Creek,47.3761,-101.1567,9608693
Coffeyville,37.0456,-95.6076,1380
Colbert,34.7439,-87.8486,31753
Coleto Creek,28.7128,-97.2142,3095292
Colorado Bend Energy Center,29.2878,-96.0683,849896
Colorado Bend II,29.2878,-96.0656,2530669
Columbia,43.4864,-89.4203,4868704
Columbia,38.9658,-92.3175,1995
Columbia Energy Center (MO),39.0183,-92.2633,34074
Columbia Energy Center (SC),33.8692,-81.0183,1298576
Colusa Generating Station,39.3648,-122.268,1110571
Colver Green Energy,40.55,-78.8,1016495
Comanche (470),38.2081,-104.5747,6642119
Comanche (8059),34.5431,-98.3244,160736
Commonwealth Chesapeake,37.9892,-75.54,46878
Concord,43.1669,-88.69,159313
Conemaugh,40.3842,-79.0611,5963853
Coolidge Generating Station,32.9175,-111.5041,208123
Cope Station,33.3642,-81.03,1475719
Cordova Energy Company,41.7146,-90.2802,152097
Coronado Generating Station,34.5778,-109.2717,3872914
Corpus Christi Energy Center,27.8139,-97.4283,1225055
Cosumnes Power Plant,38.3383,-121.1239,421493
Cottage Grove Cogeneration,44.7956,-92.9119,295166
Cottonwood Energy Project,30.2588,-93.7353,2931956
Coughlin Power Station,30.8442,-92.2606,1728780
Coyote,47.2217,-101.8139,2787971
Coyote Springs,45.8486,-119.6744,1334368
Craig,40.4627,-107.5912,8703752
Craven County Wood Energy,35.1285,-77.17,500111
Creed Energy Center,38.2419,-121.8551,6776
Crete Energy Park,41.4297,-87.6187,18169
Cricket Valley Energy Center,41.6762,-73.5806,2259599
Cross,33.3692,-80.1119,8411605
Crossroads Energy Center (CPU),34.183,-90.5621,153462
Croydon Generating Station,40.08,-74.8917,21344
Crystal River,28.9594,-82.7003,9619327
Culbertson Station,48.2104,-104.3919,90727
Cumberland,36.3903,-87.6539,8372295
Cumberland Energy Center,39.3757,-74.9654,59017
Cunningham,32.7131,-103.3533,749868
Currant Creek Power Project,39.8223,-111.894,1247554
Curtis H. Stanton Energy Center,28.4836,-81.1686,4902978
Cuyamaca Peak Energy,32.7971,-116.972,8415
D B Wilson,37.4497,-87.0803,2923594
DTE Stockton,37.9416,-121.3273,591163
Dahlberg (Jackson County),34.0386,-83.3972,247079
Dallman,39.7539,-89.6011,1369680
Dan E Karn,43.6425,-83.8431,3642228
Dan River,36.4862,-79.7208,1755710
Daniel Electric Generating Plant,30.5335,-88.5574,6600771
Danskammer Generating Station,41.573,-73.9646,10843
Darby Electric Generating Station,39.7139,-83.1778,249674
Darbytown Combustion Turbine,37.4978,-77.368,48690
Darlington County,34.4185,-80.1657,71207
Dartmouth Power,41.6728,-70.9989,23455
Dave Gates Generating Station,46.1066,-112.8755,276289
Dave Johnston,42.8378,-105.7769,4548651
David M Ratcliffe,32.6538,-88.7574,1748559
Dayton Avenue Substation,42.0269,-93.5828,68
De Moss Petrie Generating Station,32.2511,-110.9889,803
Dean Peakers,42.774,-82.4818,242824
Dearborn Industrial Generation,42.3026,-83.154,1933834
Debary,28.9047,-81.3319,94486
Decatur Energy Center,34.6292,-87.0214,1214726
Decker Creek,30.3036,-97.6128,57531
Deer Creek Station,44.3961,-96.5333,373198
Deer Park Energy Center,29.7153,-95.1361,4212277
Deerhaven,29.7586,-82.3883,521089
Deerhaven Renewable Energy Center,29.7675,-82.3964,909380
"Delano Energy Center, LLC",35.7909,-119.2945,9361
Delaware City Refinery,39.5936,-75.6337,178485
Dell Power Plant,35.8619,-90.0253,1337029
Delray,42.2947,-83.1019,31409
"Delta Energy Center, LLC",38.0167,-121.8439,1697842
Delta Energy Park,42.6906,-84.6578,300042
Depere Energy Center,44.4489,-88.0731,108673
Desert Basin Generating Station,32.9042,-111.7889,658628
