Facility Name,Latitude (degrees),Longitude (degrees),2022 CO2 Emissions (tons)
Wilkes Power Plant,32.8486,-94.5469,630168
Will County,41.6334,-88.0626,392018
William F Wyman,43.75,-70.1569,218462
Williams,33.0163,-79.9285,1854589
Winchester Power Park,30.0253,-96.9945,49977
Winyah,33.3303,-79.3611,2862903
"Wise County Power Company, LLC",33.0583,-97.9103,1247628
Wolf Hills Energy,36.6644,-82.1044,25210
Wolf Hollow Generating Station,32.3347,-97.7344,1102450
Wolf Hollow II,29.2888,-96.066,2455483
Wolfskill Energy Center,38.2282,-122.076,6072
Woodbridge Energy Center,40.515,-74.3192,1761623
Woodland Generation Station,37.6528,-121.0172,159174
Woodsdale,39.4492,-84.4611,116535
Worthington Generation,39.0717,-87.0128,48083
Wyandotte,42.2081,-83.1453,591
Wygen I,44.2862,-105.3843,917404
Wygen II,44.2911,-105.3815,958828
Wygen III,44.2892,-105.3795,981297
Wyodak,44.2886,-105.3847,2353445
Yates,33.4622,-84.8986,960924
York Energy Center,39.738,-76.3072,3198373
Yorktown Power Station,37.2144,-76.4611,34295
Yuba City Energy Center,39.1365,-121.6397,45043
Yucca Power Plant,32.7214,-114.7097,178221
Yuma Cogeneration Associates,32.7286,-114.6542,25954
Zeeland Generating Station,42.82,-85.9988,2118086
Zion Energy Center,42.4776,-87.895,222882
